"Name","cli_configs.gen_kwargs.min_p","cli_configs.gen_kwargs.temperature","cli_configs.gen_kwargs.top_k","cli_configs.gen_kwargs.top_p","cli_configs.limit","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot_llama.dataset_name","task_configs.gsm8k_cot_llama.dataset_path","task_configs.gsm8k_cot_llama.doc_to_target","task_configs.gsm8k_cot_llama.doc_to_text","task_configs.gsm8k_cot_llama.fewshot_config.sampler","task_configs.gsm8k_cot_llama.fewshot_config.samples","task_configs.gsm8k_cot_llama.fewshot_delimiter","task_configs.gsm8k_cot_llama.filter_list","task_configs.gsm8k_cot_llama.generation_kwargs.do_sample","task_configs.gsm8k_cot_llama.generation_kwargs.min_p","task_configs.gsm8k_cot_llama.generation_kwargs.temperature","task_configs.gsm8k_cot_llama.generation_kwargs.until","task_configs.gsm8k_cot_llama.metadata.version","task_configs.gsm8k_cot_llama.metric_list","task_configs.gsm8k_cot_llama.num_fewshot","task_configs.gsm8k_cot_llama.output_type","task_configs.gsm8k_cot_llama.repeats","task_configs.gsm8k_cot_llama.should_decontaminate","task_configs.gsm8k_cot_llama.tag","task_configs.gsm8k_cot_llama.target_delimiter","task_configs.gsm8k_cot_llama.task","task_configs.gsm8k_cot_llama.test_split","gsm8k_cot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match,flexible-extract","gsm8k_cot_llama/alias","gsm8k_cot_llama/exact_match,flexible-extract","gsm8k_cot_llama/exact_match,strict-match","gsm8k_cot_llama/exact_match_stderr,flexible-extract","gsm8k_cot_llama/exact_match_stderr,strict-match"
"noble-rain-37","0.7","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2857142857142857","","","","",""
"fine-deluge-77","0.7","2","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4071266110689917","","","","","",""
"silvery-plant-62","0.7","0.5","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4200151630022744","","","","","",""
"fresh-gorge-67","0.7","0.7","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.44124336618650495","","","","","",""
"sparkling-armadillo-52","0.7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24553571428571427","","","","",""
"confused-pine-82","0.7","3","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4040940106141016","","","","","",""
"misunderstood-pyramid-57","0.7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24776785714285715","","","","",""
"curious-deluge-42","0.7","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"earthy-paper-72","0.7","1","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.42153146322971946","","","","","",""
"blooming-smoke-47","0.7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27901785714285715","","","","",""
"mild-leaf-41","0.6","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"giddy-grass-66","0.6","0.7","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.42077331311599697","","","","","",""
"chocolate-universe-46","0.6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2544642857142857","","","","",""
"generous-mountain-36","0.6","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"visionary-breeze-61","0.6","0.5","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.4154662623199394","","","","","",""
"swept-plasma-81","0.6","3","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.35329795299469297","","","","","",""
"deft-dust-51","0.6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25669642857142855","","","","",""
"wandering-cherry-71","0.6","1","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.3957543593631539","","","","","",""
"lemon-totem-76","0.6","2","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.4162244124336619","","","","","",""
"twilight-dust-56","0.6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","",""
"radiant-frost-45","0.5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24776785714285715","","","","",""
"scarlet-dew-70","0.5","1","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.41243366186504926","","","","","",""
"azure-pyramid-50","0.5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25669642857142855","","","","",""
"ancient-sunset-55","0.5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24330357142857145","","","","",""
"robust-shape-35","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"golden-butterfly-40","0.5","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28125","","","","",""
"avid-cosmos-60","0.5","0.5","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.4147081122062168","","","","","",""
"copper-salad-65","0.5","0.7","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.4177407126611069","","","","","",""
"easy-pond-75","0.5","2","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.3737680060652009","","","","","",""
"sandy-water-80","0.5","3","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.3237300985595148","","","","","",""
"robust-pine-64","0.4","0.7","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","0.4200151630022744","","","","","",""
"visionary-frost-79","0.4","3","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","0.22971948445792267","","","","","",""
"comfy-butterfly-69","0.4","1","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","0.4184988627748294","","","","","",""
"summer-dust-34","0.4","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27455357142857145","","","","",""
"golden-breeze-74","0.4","2","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","0.33965125094768767","","","","","",""
"daily-sky-39","0.4","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25669642857142855","","","","",""
"misunderstood-serenity-59","0.4","0.5","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","0.4116755117513268","","","","","",""
"charmed-bee-44","0.4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25892857142857145","","","","",""
"tough-sponge-54","0.4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22991071428571427","","","","",""
"snowy-snowball-49","0.4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2544642857142857","","","","",""
"curious-smoke-43","0.3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25223214285714285","","","","",""
"copper-terrain-63","0.3","0.7","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","0.4154662623199394","","","","","",""
"whole-wood-53","0.3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27455357142857145","","","","",""
"valiant-voice-68","0.3","1","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","0.39423805913570886","","","","","",""
"wild-sound-73","0.3","2","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","0.3078089461713419","","","","","",""
"gentle-glade-48","0.3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28125","","","","",""
"apricot-tree-58","0.3","0.5","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","0.4359363153904473","","","","","",""
"neat-wave-38","0.3","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26785714285714285","","","","",""
"ethereal-firebrand-78","0.3","3","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","0.1326762699014405","","","","","",""
"copper-surf-33","0.3","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2611607142857143","","","","",""
"different-bee-90","0.1","0","","","","","main","gsm8k","{{answer.split('####')[-1].strip() if answer is defined else target}}","Given the following problem, reason and give a final answer to the problem.
Problem: {{question}}
Your response should end with ""The final answer is [answer]"" where [answer] is the response to the problem.
","first_n","[{""target"":""There are 15 trees originally. Then there were 21 trees after some more were planted. So there must have been 21 - 15 = 6. The final answer is 6"",""question"":""There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?""},{""target"":""There are originally 3 cars. 2 more cars arrive. 3 + 2 = 5. The final answer is 5"",""question"":""If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?""},{""target"":""Originally, Leah had 32 chocolates. Her sister had 42. So in total they had 32 + 42 = 74. After eating 35, they had 74 - 35 = 39. The final answer is 39"",""question"":""Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?""},{""target"":""Jason started with 20 lollipops. Then he had 12 after giving some to Denny. So he gave Denny 20 - 12 = 8. The final answer is 8"",""question"":""Jason had 20 lollipops. He gave Denny some lollipops. Now Jason has 12 lollipops. How many lollipops did Jason give to Denny?""},{""target"":""Shawn started with 5 toys. If he got 2 toys each from his mom and dad, then that is 4 more toys. 5 + 4 = 9. The final answer is 9"",""question"":""Shawn has five toys. For Christmas, he got two toys each from his mom and dad. How many toys does he have now?""},{""target"":""There were originally 9 computers. For each of 4 days, 5 more computers were added. So 5 * 4 = 20 computers were added. 9 + 20 is 29. The final answer is 29"",""question"":""There were nine computers in the server room. Five more computers were installed each day, from monday to thursday. How many computers are now in the server room?""},{""target"":""Michael started with 58 golf balls. After losing 23 on tuesday, he had 58 - 23 = 35. After losing 2 more, he had 35 - 2 = 33 golf balls. The final answer is 33"",""question"":""Michael had 58 golf balls. On tuesday, he lost 23 golf balls. On wednesday, he lost 2 more. How many golf balls did he have at the end of wednesday?""},{""target"":""Olivia had 23 dollars. 5 bagels for 3 dollars each will be 5 x 3 = 15 dollars. So she has 23 - 15 dollars left. 23 - 15 is 8. The final answer is 8"",""question"":""Olivia has $23. She bought five bagels for $3 each. How much money does she have left?""}]","

","[{""name"":""strict-match"",""filter"":[{""function"":""regex"",""group_select"":-1,""regex_pattern"":""The final answer is ((-?[$0-9.,]{2,})|(-?[0-9]+))""},{""function"":""take_first""}]},{""name"":""flexible-extract"",""filter"":[{""group_select"":-1,""regex_pattern"":""(-?[$0-9.,]{2,})|(-?[0-9]+)"",""function"":""regex""},{""function"":""take_first""}]}]","true","0.1","0","[""<|eot_id|>"",""<|start_header_id|>user<|end_header_id|>"",""Q:"",""</s>"",""<|im_end|>""]","3","[{""higher_is_better"":true,""regexes_to_ignore"":["","",""\\$"",""(?s).*#### "",""\\.$""],""ignore_punctuation"":false,""metric"":""exact_match"",""aggregation"":""mean"",""ignore_case"":true}]","5","generate_until","1","false","[""chain_of_thought""]"," ","gsm8k_cot_llama","test","","","gsm8k_cot_llama","0.929492039423806","0.9279757391963608","0.0070515438139836135","0.007121147983537128"
"genial-armadillo-95","0.1","1","","","20","0.1","","","","","","","","","","","","","","","","","","","","","","","0.35","","","","","",""
"volcanic-sun-94","0.1","1","","","20","0.1","","","","","","","","","","","","","","","","","","","","","","","0.35","","","","","",""
"ethereal-mountain-97","0.1","1","","","20","0.1","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","","",""
"clean-terrain-93","0.1","1","","","20","0.1","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","",""
"cerulean-fog-91","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4107142857142857","","","","",""
"youthful-meadow-96","0.1","1","","","20","0.1","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","","",""
"neat-sun-83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"young-vortex-13","","0.7","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2700892857142857","","","","",""
"flowing-donkey-10","","0.7","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.3957543593631539","","","","","",""
"pleasant-durian-31","","3","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.05580357142857143","","","","",""
"lunar-lake-23","","2","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.20758928571428573","","","","",""
"warm-thunder-30","","3","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.01516300227445034","","","","","",""
"sunny-salad-12","","0.7","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.39423805913570886","","","","","",""
"divine-pine-4","","0.5","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.4184988627748294","","","","","",""
"logical-surf-8","","0.5","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.3889310083396513","","","","","",""
"effortless-silence-7","","0.5","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.265625","","","","",""
"stoic-terrain-3","","0.5","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.265625","","","","",""
"sandy-lake-27","","3","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.19419642857142855","","","","",""
"fresh-butterfly-22","","2","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.04397270659590599","","","","","",""
"curious-snow-14","","0.7","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.3737680060652009","","","","","",""
"jumping-pine-21","","2","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.23660714285714285","","","","",""
"magic-universe-84","","1.5","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"morning-grass-88","","1.5","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.24553571428571427","","","","",""
"treasured-shape-20","","1","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.3282789992418499","","","","","",""
"visionary-galaxy-29","","3","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.109375","","","","",""
"sunny-sky-25","","2","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.22098214285714285","","","","",""
"robust-galaxy-87","","1.5","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.1106899166034875","","","","","",""
"denim-snowball-17","","1","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2700892857142857","","","","",""
"avid-spaceship-85","","1.5","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.1865049279757392","","","","","",""
"vocal-shape-16","","1","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.34268385140257773","","","","","",""
"major-snow-26","","2","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.01288855193328279","","","","","",""
"flowing-waterfall-5","","0.5","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.265625","","","","",""
"tough-dew-19","","1","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2767857142857143","","","","",""
"dry-feather-9","","0.7","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2700892857142857","","","","",""
"royal-microwave-18","","1","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.3434420015163002","","","","","",""
"fallen-firefly-6","","0.5","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.40636846095526913","","","","","",""
"copper-energy-11","","0.7","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2700892857142857","","","","",""
"daily-oath-89","","1.5","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.06823351023502654","","","","","",""
"bumbling-violet-15","","1","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.2700892857142857","","","","",""
"firm-spaceship-28","","3","10","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.009097801364670205","","","","","",""
"astral-durian-24","","2","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.011372251705837756","","","","","",""
"proud-resonance-86","","1.5","50","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","0.23214285714285715","","","","",""
"worldly-plant-32","","3","177","0.9","","","","","","","","","","","","","","","","","","","","","","","","","0.006065200909780136","","","","","",""
"earnest-sponge-92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""